comment,â„–,time left,time top,time right,birthday,data at previous weighing,weight at weighing,weight at previous weighing,growth,withers height,height in the sacrum,chest width,chest girth,sex
,3,10.20.55.851,10.20.55.843,10.20.55.881,02.06.2020,25.03.2021,625,633,8,123,122,53,214,bull
,4,10.23.55.323,10.23.55.331,10.23.55.339,08.05.2020,30.03.2021,627,632,5,119,124,52,224,bull
,5,10.25.59.962,10.25.59.982,10.25.59.950,14.05.2020,23.03.2021,606,604,-2,120,122,50,217,bull
fall,6,10.31.00.472,10.31.00.469,10.31.00.460,27.03.2020,23.03.2021,638,643,5,123,125,52,215,bull
,7,10.33.07.512,10.33.07.545,10.33.07.520,18.04.2020,23.03.2021,612,617,5,145,144,51,216,bull
,8,10.35.35.121,10.35.35.135,10.35.35.103,30.04.2020,23.03.2021,605,619,14,143,143,56,215,bull
,9,10.38.16.429,10.38.16.421,10.38.16.435,06.04.2020,23.03.2021,605,592,-13,137,147,52,219,bull
,12,10.44.59.647,10.44.59.642,10.44.59.688,11.04.2020,30.03.2021,731,746,15,146,155,55,229,bull
,13,10.46.27.079,10.46.27.031,10.46.27.080,16.04.2020,25.03.2021,618,612,-6,146,145,51,218,bull
,14,10.48.35.776,10.48.35.753,10.48.35.758,20.04.2020,25.03.2021,576,590,14,147,148,53,208,bull
,15,10.51.47.644,10.51.47.678,10.51.47.680,03.04.2020,23.03.2021,671,676,5,143,151,53,229,bull
,16,10.53.43.065,10.53.43.065,10.53.43.019,02.04.2020,25.03.2021,604,610,6,133,139,54,216,bull
,17,10.55.59.134,10.55.59.131,10.55.59.125,08.05.2020,23.03.2021,640,626,-14,144,147,54,217,bull
,18,10.57.36.017,10.57.36.042,10.57.36.022,06.05.2020,30.03.2021,627,625,-2,146,152,53,224,bull
,19,10.59.12.366,10.59.12.317,10.59.12.333,27.04.2020,23.03.2021,591,600,9,143,147,52,206,bull
,20,11.00.40.284,11.00.40.263,11.00.40.276,13.04.2020,23.03.2021,627,619,-8,145,152,50,210,bull
,21,11.02.46.632,11.02.46.668,11.02.46.618,29.03.2020,25.03.2021,612,606,-6,146,152,53,220,bull
,22,11.04.45.159,11.04.45.169,11.04.45.142,21.07.2020,23.03.2021,618,612,-6,141,147,52,211,bull
,23,11.06.35.059,11.06.35.015,11.06.35.069,12.05.2020,23.03.2021,615,612,-3,143,143,56,214,bull
,24,11.08.46.401,11.08.46.406,11.08.46.420,25.03.2020,25.03.2021,596,617,21,143,148,51,210,bull
,25,11.10.25.505,11.10.25.514,11.10.25.495,08.04.2020,23.03.2021,665,648,-17,152,152,53,213,bull
,26,11.12.00.899,11.12.00.874,11.12.00.907,23.04.2020,30.03.2021,702,693,-9,152,151,52,230,bull
,27,11.13.26.570,11.13.26.579,11.13.26.571,20.04.2020,23.03.2021,612,595,-17,148,150,48,217,bull
,28,11.15.15.701,11.15.15.703,11.15.15.721,07.05.2020,26.03.2021,606,588,-18,147,150,49,212,bull
,29,11.16.32.267,11.16.32.217,11.16.32.265,02.04.2020,25.03.2021,618,596,-22,143,147,52,223,bull
,30,11.18.23.274,11.18.23.265,11.18.23.286,20.04.2020,25.03.2021,643,650,7,148,150,55,221,bull
,31,11.20.59.771,11.20.59.749,11.20.59.783,17.04.2020,30.03.2021,677,670,-7,153,152,54,226,bull
,32,11.22.49.119,11.22.49.098,11.22.49.127,31.03.2020,23.03.2021,613,602,-11,149,147,54,224,bull
,33,11.24.29.803,11.24.29.748,11.24.29.795,03.04.2020,23.03.2021,587,577,-10,148,150,52,213,bull
,34,11.26.15.114,11.26.15.108,11.26.15.106,15.04.2020,23.03.2021,625,611,-14,145,147,51,214,bull
,35,11.28.24.844,11.28.24.878,11.28.24.838,22.04.2020,25.03.2021,632,637,5,144,145,53,226,bull
,36,11.30.54.771,11.30.54.768,11.30.54.724,24.04.2020,23.03.2021,590,578,-12,144,150,49,208,bull
,37,11.32.31.324,11.32.31.344,11.32.31.313,30.03.2020,25.03.2021,605,654,49,149,153,52,222,bull
,38,11.35.38.243,11.35.38.204,11.35.38.247,28.03.2020,25.03.2021,606,608,2,139,142,51,219,bull
,39,11.37.36.497,11.37.36.504,11.37.36.500,22.03.2020,25.03.2021,610,593,-17,139,146,52,215,bull
,40,11.39.12.019,11.39.12.051,11.39.12.016,25.04.2020,23.03.2021,592,574,-18,144,147,52,211,bull
,41,11.40.42.884,11.40.42.864,11.40.42.846,26.03.2020,23.03.2021,677,670,-7,151,153,52,221,bull
,42,11.44.24.391,11.44.24.440,11.44.24.402,13.05.2020,23.03.2021,637,626,-11,147,152,51,210,bull
,43,11.46.50.820,11.46.50.816,11.46.50.795,14.04.2020,23.03.2021,606,600,-6,148,152,52,214,bull
,44,11.48.53.863,11.48.53.875,11.48.53.871,21.04.2020,23.03.2021,670,665,-5,148,153,54,221,bull
,45,11.51.53.583,11.51.53.538,11.51.53.580,02.04.2020,25.03.2021,590,603,13,143,147,53,217,bull
,46,11.53.41.286,11.53.41.239,11.53.41.275,21.04.2020,23.03.2021,646,639,-7,148,147,54,223,bull
,47,11.56.52.054,11.56.52.054,11.56.52.067,30.03.2020,23.03.2021,607,610,3,144,145,55,226,bull
,48,11.59.00.888,11.59.00.880,11.59.00.911,13.04.2020,23.03.2021,658,642,-16,143,148,54,219,bull
,49,12.01.39.800,12.01.39.786,12.01.39.789,21.04.2020,25.03.2021,641,605,-36,150,156,51,216,bull
,50,12.03.19.098,12.03.19.132,12.03.19.100,13.04.2020,23.03.2021,646,631,-15,143,150,53,226,bull
,51,12.06.12.278,12.06.12.273,12.06.12.303,03.04.2020,25.03.2021,621,590,-31,144,143,52,224,bull
,52,12.08.11.997,12.08.12.002,12.08.12.044,13.05.2020,23.03.2021,637,626,-11,147,152,51,210,bull
,53,12.11.44.239,12.11.44.285,12.11.44.243,01.03.2020,25.01.2021,"581,4",599,"17,6",148,150,50,215,bull
,54,12.13.56.997,12.13.57.019,12.13.56.978,16.05.2019,16.07.2020,"574,3",562,"-12,3",145,143,52,219,heifer
,55,12.15.26.837,12.15.26.863,12.15.26.868,18.10.2019,22.01.2021,"489,3",485,"-4,3",138,140,48,212,heifer
,56,12.18.56.838,12.18.56.820,12.18.56.865,01.03.2020,25.01.2021,"572,4",584,"11,6",143,145,52,216,bull
fall,57,12.20.55.714,12.20.55.675,12.20.55.702,19.04.2019,16.06.2020,"566,4",573,"6,6",140,143,48,213,bull
,58,12.22.48.029,12.22.48.020,12.22.48.057,20.05.2019,19.06.2020,"564,3",596,"31,7",147,146,52,222,heifer
,59,12.24.16.023,12.24.16.024,12.24.16.038,09.01.2020,22.01.2021,"551,3",556,"4,7",143,147,51,213,heifer
,60,12.26.55.517,12.26.55.521,12.26.55.516,15.01.2020,22.01.2021,"555,3",555,"-0,3",134,135,53,215,heifer
,61,12.29.03.546,12.29.03.522,12.29.03.521,11.09.2019,22.01.2021,"536,3",544,"7,7",138,141,51,219,heifer
,62,12.30.51.080,12.30.51.084,12.30.51.034,08.02.2020,22.01.2021,"571,4",563,"-8,4",137,145,51,215,bull
,63,12.32.42.743,12.32.42.725,12.32.42.734,03.10.2019,22.01.2021,"533,3",542,"8,7",140,139,50,221,heifer
bad,64,12.34.27.986,12.34.28.008,12.34.27.988,20.09.2019,22.01.2021,"522,3",542,"19,7",144,146,49,216,heifer
,65,12.36.27.268,12.36.27.223,12.36.27.267,09.01.2020,22.01.2021,"558,3",558,"-0,3",139,138,51,214,heifer
,66,12.38.09.170,12.38.09.187,12.38.09.175,25.08.2019,22.01.2021,"572,3",564,"-8,3",141,143,49,217,heifer
,67,12.39.41.335,12.39.41.304,12.39.41.355,27.03.2020,23.03.2021,645,627,-18,143,146,49,217,bull
,68,12.41.18.704,12.41.18.742,12.41.18.709,02.04.2020,23.03.2021,596,582,-14,139,144,54,220,bull
,69,12.43.40.068,12.43.40.097,12.43.40.057,24.04.2020,23.03.2021,618,611,-7,139,145,50,215,bull
,70,12.45.16.047,12.45.16.022,12.45.16.015,09.05.2020,23.03.2021,646,611,-35,139,138,52,218,bull
,71,12.46.58.265,12.46.58.242,12.46.58.248,29.04.2020,23.03.2021,626,610,-16,147,150,55,210,bull
,72,12.48.50.033,12.48.50.024,12.48.50.048,02.05.2020,23.03.2021,638,646,8,147,148,54,217,bull
,73,12.50.28.549,12.50.28.586,12.50.28.556,23.04.2020,23.03.2021,611,589,-22,144,152,52,206,bull
,74,12.52.06.552,12.52.06.524,12.52.06.532,27.04.2020,23.03.2021,622,615,-7,139,143,53,222,bull
,75,12.53.41.284,12.53.41.287,12.53.41.281,13.04.2020,23.03.2021,659,649,-10,137,143,53,219,bull
,76,12.55.08.191,12.55.08.210,12.55.08.204,29.03.2020,23.03.2021,639,632,-7,143,146,50,210,bull
,77,13.00.35.055,13.00.35.081,13.00.35.069,31.03.2020,23.03.2021,649,656,7,142,147,55,218,bull
,78,13.04.31.216,13.04.31.194,13.04.31.224,23.04.2020,23.03.2021,591,588,-3,139,140,48,213,bull
,79,13.09.08.532,13.09.08.556,13.09.08.526,26.03.2020,26.03.2021,669,657,-12,147,150,53,220,bull
,80,13.10.49.038,13.10.49.023,13.10.49.011,21.04.2020,25.03.2021,664,650,-14,146,152,54,222,bull
,81,13.12.45.343,13.12.45.336,13.12.45.385,21.04.2020,23.03.2021,597,579,-18,147,150,52,215,bull
,82,13.14.36.939,13.14.36.959,13.14.36.948,25.04.2020,23.03.2021,613,613,,144,148,52,217,bull
,83,13.16.50.782,13.16.50.760,13.16.50.745,25.04.2020,23.03.2021,674,646,-28,145,147,52,219,bull
,84,13.26.37.927,13.26.37.945,13.26.37.946,12.05.2020,23.03.2021,638,619,-19,144,150,52,220,bull
,85,13.28.30.249,13.28.30.261,13.28.30.244,17.04.2020,23.03.2021,636,618,-18,146,148,49,219,bull
,86,13.30.22.866,13.30.22.844,13.30.22.870,27.04.2020,23.03.2021,601,573,-28,138,143,50,209,bull
,87,13.32.10.812,13.32.10.864,13.32.10.824,07.05.2020,23.03.2021,638,603,-35,143,148,51,226,bull
,88,13.33.47.776,13.33.47.758,13.33.47.753,17.04.2020,23.03.2021,678,660,-18,143,146,54,218,bull
,89,13.35.36.820,13.35.36.818,13.35.36.829,06.04.2020,23.03.2021,607,556,-51,139,143,51,215,bull
,90,13.37.39.942,13.37.39.946,13.37.39.988,24.04.2020,23.03.2021,612,575,-37,145,149,53,209,bull
,91,13.39.27.273,13.39.27.288,13.39.27.292,07.05.2020,23.03.2021,664,645,-19,146,144,51,212,bull
,92,13.41.06.939,13.41.06.930,13.41.06.955,16.04.2020,23.03.2021,653,632,-21,139,148,52,221,bull
,93,15.03.56.315,15.03.56.351,15.03.56.340,29.04.2020,23.03.2021,596,566,-30,137,146,54,207,bull
,94,15.05.35.200,15.05.35.225,15.05.35.195,14.04.2020,23.03.2021,611,600,-11,139,138,49,205,bull
,95,15.07.16.671,15.07.16.631,15.07.16.629,17.04.2020,23.03.2021,693,679,-14,145,147,53,219,bull
,96,15.08.52.389,15.08.52.333,15.08.52.388,27.04.2020,23.03.2021,639,604,-35,141,148,52,220,bull
bad,97,15.11.15.678,15.11.15.708,15.11.15.666,28.04.2020,23.03.2021,663,665,2,144,150,54,220,bull
,98,15.13.09.583,15.13.09.538,15.13.09.586,27.03.2020,23.03.2021,603,597,-6,141,141,55,217,bull
,99,15.14.52.178,15.14.52.195,15.14.52.190,02.05.2020,23.03.2021,595,570,-25,139,142,50,210,bull
,100,15.16.33.067,15.16.33.024,15.16.33.035,26.03.2020,23.03.2021,603,605,2,143,146,54,216,bull
,101,15.17.56.721,15.17.56.789,15.17.56.731,14.04.2020,23.03.2021,605,595,-10,143,146,51,216,bull
,102,15.19.29.504,15.19.29.492,15.19.29.489,14.04.2020,23.03.2021,626,596,-30,144,148,52,217,bull
,103,15.21.31.489,15.21.31.491,15.21.31.472,20.04.2020,23.03.2021,674,648,-26,140,144,55,221,bull
,104,15.22.42.848,15.22.42.850,15.22.42.896,25.04.2020,26.03.2021,645,607,-38,143,148,53,223,bull
,105,15.24.57.931,15.24.57.959,15.24.57.929,15.04.2020,23.03.2021,662,648,-14,143,146,54,221,bull
bad,106,15.26.50.613,15.26.50.620,15.26.50.609,18.04.2020,23.03.2021,641,582,-59,147,150,48,207,bull
,107,15.31.25.380,15.31.25.395,15.31.25.393,15.04.2020,23.03.2021,625,589,-36,148,150,54,213,bull
,108,15.33.04.595,15.33.04.650,15.33.05.610,17.04.2020,23.03.2021,621,581,-40,143,145,51,217,bull
,109,15.35.11.620,15.35.11.665,15.35.11.631,27.04.2020,23.03.2021,624,582,-42,142,147,53,217,bull
,110,15.37.23.381,15.37.23.365,15.37.23.391,26.03.2020,23.03.2021,608,605,-3,149,146,51,216,bull
,111,15.39.25.879,15.39.25.854,15.39.25.888,25.03.2020,23.03.2021,608,592,-16,142,143,54,222,bull
,112,15.40.49.330,15.40.49.341,15.40.49.318,07.05.2020,23.03.2021,623,603,-20,141,147,50,220,bull
,113,15.45.26.511,15.45.26.553,15.45.26.543,22.05.2020,23.03.2021,624,593,-31,145,152,53,214,bull
,114,15.47.45.266,15.47.45.240,15.47.45.275,30.03.2020,23.03.2021,594,574,-20,141,143,51,216,bull
,115,15.49.18.877,15.49.18.896,15.49.18.892,30.03.2020,23.03.2021,611,592,-19,138,141,48,218,bull
,116,15.51.03.799,15.51.03.789,15.51.03.801,17.04.2020,23.03.2021,625,617,-8,151,155,52,216,bull
,117,15.52.51.295,15.52.51.288,15.52.51.297,15.05.2020,26.03.2021,647,623,-24,143,146,49,216,bull
,118,15.54.35.590,15.54.35.555,15.54.35.582,31.03.2020,23.03.2021,639,632,-7,146,147,51,217,bull
,119,15.56.23.794,15.56.23.773,15.56.23.775,20.04.2020,26.03.2021,621,606,-15,145,144,53,219,bull
,120,15.58.23.587,15.58.23.569,15.58.23.599,21.04.2020,26.03.2021,611,599,-12,146,145,52,221,bull
,121,16.01.30.852,16.01.30.885,16.01.30.852,20.06.2019,22.01.2021,"524,3",499,"-25,3",132,137,47,206,heifer
